CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
AZ,810,ITALIA TRASPORTO AEREO,2022-09-04T03:50:00,2022-09-04T03:45:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,"","",FINAL,סופי
FB,1772,BULGARIA  AIR,2022-09-04T03:50:00,2022-09-04T03:45:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,"","",FINAL,סופי
JU,7381,AIR SERBIA,2022-09-04T03:50:00,2022-09-04T03:45:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,"","",FINAL,סופי
IB,2391,IBERIA,2022-09-04T04:10:00,2022-09-04T03:49:00,A,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,"","",FINAL,סופי
LY,392,EL AL ISRAEL AIRLINES,2022-09-04T04:10:00,2022-09-04T03:49:00,A,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,"","",FINAL,סופי
ET,404,ETHIOPIAN AIRLINES,2022-09-04T04:00:00,2022-09-04T04:07:00,A,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,"","",FINAL,סופי
LY,8804,EL AL ISRAEL AIRLINES,2022-09-04T04:00:00,2022-09-04T04:07:00,A,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,"","",FINAL,סופי
AM,7854,AERO MEXICO,2022-09-04T04:40:00,2022-09-04T04:21:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,"","",FINAL,סופי
LY,326,EL AL ISRAEL AIRLINES,2022-09-04T04:40:00,2022-09-04T04:21:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,"","",FINAL,סופי
PC,6402,PEGASUS AIRLINES,2022-09-04T04:25:00,2022-09-04T04:25:00,A,DLM,DALAMAN,דאלאמן,DALAMAN,טורקיה,TURKEY,3,"","",NOT FINAL,לא סופי
OK,5288,CZECH AIRLINES,2022-09-04T04:35:00,2022-09-04T04:35:00,A,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,"","",NOT FINAL,לא סופי
QS,1286,SMARTWINGS,2022-09-04T04:35:00,2022-09-04T04:35:00,A,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,"","",NOT FINAL,לא סופי
6H,7768,ISRAIR AIRLINES,2022-09-04T04:35:00,2022-09-04T04:35:00,A,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,"","",NOT FINAL,לא סופי
MNE,430,TOMONTENEGRO,2022-09-04T04:00:00,2022-09-04T04:39:00,A,TGD,PODGORICA,פודגוריצה,PODGORICA,מונטנגרו,MONTENEGRO,3,"","",DELAYED,עיכוב
DL,9176,DELTA AIRLINES,2022-09-04T04:45:00,2022-09-04T04:45:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,34-37,B,ON TIME,בזמן
KL,462,K.L.M.,2022-09-04T04:45:00,2022-09-04T04:45:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,34-37,B,ON TIME,בזמן
